Address,found_address,coordinates,District
"հովհաննես շիրազի փողոց, երևան","Armenia, Yerevan, Shiraz Street","40.204717,44.461549",Աջափնյակ
"ռոստոմի փողոց, երևան","Armenia, Yerevan, Rostom Street","40.164487,44.519158",Կենտրոն
"հունան ավետիսյան փողոց, երևան","Armenia, Yerevan, Hunan Avetisyan Street","40.177601,44.565295",Նոր Նորք
"պարոնյան փողոց 7, երևան","Armenia, Yerevan, Paronyan Street, 7","40.178669,44.501892",Կենտրոն
"հովսեփ արղության փողոց, երևան","Armenia, Yerevan,  Atlantis Yerevan Residential Complex","40.212059,44.50615",Արաբկիր
"քաջազնունու փողոց, երևան","Armenia, Yerevan, Kajaznuni Street","40.168622,44.520281",Կենտրոն
"ռոստովյան փողոց, երևան","Armenia, Yerevan, Rostovyan Street","40.150502,44.516481",Էրեբունի
"հալաբյան փողոց 23, երևան","Armenia, Yerevan, Halabyan Street, 23","40.195114,44.478572",Աջափնյակ
"աշոտ հովհաննիսյանի փողոց, երևան","Armenia, Yerevan, Ashot Hovhannisyan Street","40.191918,44.576039",Նոր Նորք
"նանսենի փողոց, երևան","Armenia, Yerevan, Nansen Street","40.198579,44.561514",Նոր Նորք
"օհանովի փողոց 70, երևան","Armenia, Yerevan, Ohanov Street, 70","40.178131,44.452997",Մալաթիա-Սեբաստիա
"anastas mikoyan street, yerevan","Armenia, Yerevan, Anastas Mikoyan Street","40.221059,44.502036",Դավթաշեն
"paronyan street, երևան","Armenia, Yerevan, Paronyan Street","40.183692,44.500491",Կենտրոն
"հրաչյա ներսիսյան փողոց, երևան","Armenia, Yerevan, Hrachya Nersisyan Street","40.205137,44.530746",Քանաքեռ-Զեյթուն
"դրոյի փողոց 10, երևան","Armenia, Yerevan, Dro Street, 10","40.201776,44.541032",Քանաքեռ-Զեյթուն
"մամիկոնյանց փողոց 35, երևան","Armenia, Yerevan, Mamikonyants Street, 35","40.209373,44.513319",Արաբկիր
"արգիշտիի փողոց 11/12, երևան","Armenia, Yerevan, Argishti Street, 11/12","40.171723,44.502611",Կենտրոն
"նիկոլ դումանի փողոց, երևան","Armenia, Yerevan, Nikol Duman Street","40.200288,44.487986",Արաբկիր
"զորավար անդրանիկի փողոց 123, երևան","Armenia, Yerevan, Zoravar Andranik Street, 123","40.166375,44.445236",Մալաթիա-Սեբաստիա
"էրեբունու փողոց 34, երևան","Armenia, Yerevan, Erebuni Street, 34","40.141071,44.531411",Էրեբունի
"սարի թաղ 7-րդ փողոց 67, երևան","Armenia, Yerevan, Sari Tagh 7th Street, 67","40.163198,44.527485",Նորք-Մարաշ
"գյուրջյան փողոց 27, երևան","Armenia, Yerevan, Gyurjyan Street, 27","40.19032,44.559456",Նոր Նորք
"սևակի փողոց, երևան","Armenia, Yerevan, Paruyr Sevak Street","40.205219,44.539613",Քանաքեռ-Զեյթուն
"բայրոնի փողոց, երևան","Armenia, Yerevan, Byron Street","40.187027,44.51808",Կենտրոն
"ավետ ավետիսյան փողոց, երևան","Armenia, Yerevan, Avet Avetisyan Street","40.197987,44.499808",Արաբկիր
"ծիծեռնակաբերդի խճուղի, երևան","Armenia, Yerevan, Tsitsernakaberd Highway","40.181652,44.484833",Մալաթիա-Սեբաստիա
"աղայան փողոց, երևան","Armenia, Yerevan, Ghazaros Aghayan Street","40.185359,44.519122",Կենտրոն
"բաշինջաղյան փողոց 2-րդ նրբանցք 10, երևան","Armenia, Yerevan, Bashinjaghyan Street 2nd Lane, 10","40.206549,44.465026",Աջափնյակ
"նազարեթ սուրենյան փողոց, երևան","Armenia, Yerevan, Nazaret Surenyan Street","40.203174,44.526686",Քանաքեռ-Զեյթուն
"vilnius street, yerevan","Armenia, Yerevan, Vilnius Street","40.173391,44.567748",Նոր Նորք
"կոմիտասի պողոտա 34, երևան","Armenia, Yerevan, Komitas Avenue, 34","40.204648,44.50403",Արաբկիր
"տիգրան պետրոսյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"թբիլիսյան խճուղի, երևան","Armenia, Yerevan, Tbilisyan Highway","40.231464,44.544715",Քանաքեռ-Զեյթուն
"առնո բաբաջանյան փողոց 42/5, երևան","Armenia, Yerevan, Arno Babajanyan Street, 42/5","40.165569,44.437843",Մալաթիա-Սեբաստիա
"գրիբոյեդովի փողոց 17, երևան","Armenia, Yerevan, Griboyedov Street, 17","40.210977,44.513867",Արաբկիր
"բաղրամյան պողոտա 59, երևան","Armenia, Yerevan, Baghramyan Avenue, 59","40.193812,44.497068",Արաբկիր
"մալաթիայի փողոց, երևան","Armenia, Yerevan, Malatiya Street","40.174218,44.458459",Մալաթիա-Սեբաստիա
"զորավար անդրանիկի փողոց 84, երևան","Armenia, Yerevan, Zoravar Andranik Street, 84","40.169911,44.441759",Մալաթիա-Սեբաստիա
"բարբյուսի փողոց, երևան","Armenia, Yerevan, Barbusse Street","40.196182,44.485543",Արաբկիր
"16 թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 1st Block, 16","40.220543,44.486648",Դավթաշեն
"չարենցի փողոց, երևան","Armenia, Yerevan, Charents Street","40.176347,44.527351",Կենտրոն
"հրաչյա թամրազյան փողոց, երևան","Armenia, Yerevan, Hrachya Tamrazyan Street","40.200853,44.509124",Արաբկիր
"փավստոս բուզանդի փողոց 13, երևան","Armenia, Yerevan, Pavstos Buzand Street, 13","40.180688,44.510435",Կենտրոն
"սողոմոն տարոնցի փողոց 7/1, երևան","Armenia, Yerevan, Soghomon Taronts Street, 7/1","40.145311,44.486235",Շենգավիթ
"բաղրամյան պողոտա 50b, երևան","Armenia, Yerevan, Baghramyan Avenue, 50B","40.192917,44.500949",Արաբկիր
"արտեմ միկոյան փողոց 15, երևան","Armenia, Yerevan, Artem Mikoyan Street, 15","40.18301,44.567649",Նոր Նորք
"բաշինջաղյան փողոցի 1-ին նրբանցք 1/2, երևան","Armenia, Yerevan, Bashinjaghyan Street 1st Lane, 1/2","40.202127,44.465538",Աջափնյակ
"minas avetisyan 4th street, yerevan","Armenia, Yerevan, Minas Avetisyan 4th Street","40.205819,44.545254",Քանաքեռ-Զեյթուն
"մարշալ խուդյակովի փողոց, երևան","Armenia, Yerevan, Marshal Khudyakov Street","40.212906,44.57206",Ավան
"լեփսիուսի 1-ին փողոց, երևան","Armenia, Yerevan, Lepsius 1st Street","40.209138,44.543736",Քանաքեռ-Զեյթուն
"ռիգայի փողոց, երևան","Armenia, Yerevan, Riga Street","40.205151,44.505917",Արաբկիր
"ավետ ավետիսյան փողոց 2, երևան","Armenia, Yerevan, Avet Avetisyan Street, 2","40.196044,44.495622",Արաբկիր
"մաշտոցի պողոտա 48, երևան","Armenia, Yerevan, Mashtots Avenue, 48","40.188625,44.517325",Կենտրոն
"արտաշիսյան փողոց, երևան","Armenia, Yerevan, Artashisyan Street","40.146669,44.46569",Շենգավիթ
"ավան-առինջ 2-րդ միկրոշրջան, երևան","Armenia, Yerevan, The Administrative District of Avan, Avan-Arinj 2nd microdistrict","40.224137,44.573389",Ավան
"արցախի պողոտա 12, երևան","Armenia, Yerevan, Artsakh Avenue, 12","40.148902,44.509025",Էրեբունի
"դուրյան փողոց 11/8, երևան","Armenia, Yerevan, Duryan Street, 11/8","40.189135,44.545164",Նորք-Մարաշ
"արցախի պողոտա 8/13, երևան","Armenia, Yerevan, Artsakh Avenue, 8/13","40.150722,44.508827",Էրեբունի
"լեռ կամսարի փողոց, երևան","Armenia, Yerevan, Ler Kamsar Street","40.194184,44.504992",Արաբկիր
"նորաշեն թաղամաս , երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Norashen Quarter","40.213333,44.469634",Աջափնյակ
"նալբանդյան փողոց 106/1, երևան","Armenia, Yerevan, Nalbandyan Street, 106/1","40.181067,44.520676",Կենտրոն
"եզնիկ կողբացու փողոց 42, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 42","40.183237,44.513238",Կենտրոն
"գրիգոր աղաբաբյան փողոց, երևան","Armenia, Yerevan, Grigor Aghababyan Street","40.221693,44.481195",Դավթաշեն
"այգեձորի փողոց 74, երևան","Armenia, Yerevan, Aygedzor Street, 74","40.192593,44.49485",Արաբկիր
"ֆուչիկի փողոց 19, երևան","Armenia, Yerevan, Fuchik Street, 19","40.206074,44.476263",Աջափնյակ
"ռոստովյան փողոց 36, երևան","Armenia, Yerevan, Rostovyan Street, 36","40.149916,44.516912",Էրեբունի
"մամիկոնյանց փողոց 42/1, երևան","Armenia, Yerevan, Mamikonyants Street, 42/1","40.209572,44.518951",Արաբկիր
"հովսեփ էմինի փողոց, երևան","Armenia, Yerevan, Hovsep Emin Street","40.207279,44.498263",Արաբկիր
"վազգեն առաջին վեհափառի փողոց, երևան","Armenia, Yerevan, Vazgen the First Vehapar Street","40.19973,44.493879",Արաբկիր
"նուբարաշենի խճուղի, երևան","Armenia, Yerevan, Nubarashen Highway","40.116757,44.547185",Էրեբունի
"griboyedov street 48/6, yerevan","Armenia, Yerevan, Griboyedov Street, 48/6","40.211342,44.516319",Արաբկիր
"bashinjaghyan street, yerevan","Armenia, Yerevan, Bashinjaghyan Street","40.201169,44.468664",Աջափնյակ
"գրիգոր արծրունու փողոց, երևան","Armenia, Yerevan, Grigor Artsruni Street","40.20232,44.500841",Արաբկիր
"մինաս ավետիսյանի 4-րդ փողոց, երևան","Armenia, Yerevan, Minas Avetisyan 4th Street","40.205819,44.545254",Քանաքեռ-Զեյթուն
"ազատամարտիկների պողոտա, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Azatamartikner Avenue","40.144359,44.522149",Էրեբունի
"բաշինջաղյան փողոց 188, երևան","Armenia, Yerevan, Bashinjaghyan Street, 188","40.208147,44.468619",Աջափնյակ
"զաքարիա սարկավագի փողոց, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street","40.222884,44.544796",Քանաքեռ-Զեյթուն
"կոմիտասի պողոտա 23/2, երևան","Armenia, Yerevan, Komitas Avenue, 23/2","40.205598,44.502881",Արաբկիր
"թումանյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Tumanyan District","40.217251,44.573722",Ավան
"նիկողայոս տիգրանյան փողոց 1-ին փակուղի, երևան","Armenia, Yerevan,  Atlantis Yerevan Residential Complex","40.212059,44.50615",Արաբկիր
"dro street, երևան","Armenia, Yerevan, Dro Street","40.204214,44.543008",Քանաքեռ-Զեյթուն
"հունան ավետիսյան փողոց 4, երևան","Armenia, Yerevan, Hunan Avetisyan Street, 4","40.175306,44.563445",Նոր Նորք
"փավստոս բուզանդի փողոց 17, երևան","Armenia, Yerevan, Pavstos Buzand Street, 17","40.179964,44.511424",Կենտրոն
"ռաֆայել լեմկինի փողոց, երևան","Armenia, Yerevan, Rafael Lemkin Street","40.189031,44.511504",Կենտրոն
"վաղարշյան փողոց, երևան","Armenia, Yerevan, Vagharshyan Street","40.200804,44.499997",Արաբկիր
"դավթաշեն 2-րդ թաղամաս 3, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 2nd Block, 3","40.224027,44.492442",Դավթաշեն
"անաստաս միկոյան փողոց 64/2, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 64/2","40.218642,44.500302",Դավթաշեն
"թևոսյան փողոց, երևան","Armenia, Yerevan, Tevosyan Street","40.189651,44.588077",Նոր Նորք
"շահումյանի 1-ին փողոց 14, երևան","Armenia, Yerevan, Shahumyan 1st Street, 14","40.169676,44.463579",Մալաթիա-Սեբաստիա
"օհանովի փողոց 76, երևան","Armenia, Yerevan, Ohanov Street, 76","40.177298,44.452871",Մալաթիա-Սեբաստիա
"մայիսի 9-ի փողոց, երևան","Armenia, Yerevan, May 9th Street","40.155299,44.488328",Շենգավիթ
"saryan street, երևան","Armenia, Yerevan, Saryan Street","40.184877,44.506339",Կենտրոն
"բաբայան փողոց, երևան","Armenia, Yerevan, Babayan Street","40.198896,44.52038",Քանաքեռ-Զեյթուն
"sasna tsrer street 2, yerevan","Armenia, Yerevan, Sasna Tsrer Street, 2","40.214235,44.490771",Դավթաշեն
"հայկ հովսեփյան փողոց, երևան","Armenia, Yerevan, Hayk Hovsepyan Street","40.149164,44.480692",Շենգավիթ
"բագրատունյաց փողոց 17, երևան","Armenia, Yerevan, Bagratunyats Street, 17","40.151825,44.48363",Շենգավիթ
"arshakuniats avenue 3rd backstreet, yerevan","Armenia, Yerevan, Arshakunyats Avenue","40.148909,44.497751",Շենգավիթ
"գայի պողոտա 7, երևան","Armenia, Yerevan, Gai Avenue, 7","40.202761,44.565915",Նոր Նորք
"զորավար անդրանիկի փողոց 55, երևան","Armenia, Yerevan, Zoravar Andranik Street, 55","40.176719,44.447535",Մալաթիա-Սեբաստիա
"արշակունյաց պողոտա 9/2, երևան","Armenia, Yerevan, Arshakunyats Avenue, 9/2","40.168002,44.50766",Կենտրոն
"արշակունյաց պողոտա 127/32, երևան","Armenia, Yerevan, Arshakunyats Avenue, 127/32","40.131432,44.488292",Շենգավիթ
"մարգարյան փողոց, երևան","Armenia, Yerevan, Margaryan Street","40.205082,44.475769",Աջափնյակ
"քաջազնունի փողոց, երևան","Armenia, Yerevan, Kajaznuni Street","40.168622,44.520281",Կենտրոն
"աթենքի փողոց, երևան","Armenia, Yerevan, Atenk Street","40.178538,44.495838",Մալաթիա-Սեբաստիա
"մարո մարգարյան փողոց 1/6, երևան","Armenia, Yerevan, Maro Margaryan Street, 1/6","40.201011,44.505827",Արաբկիր
"զավարյան փողոց, երևան","Armenia, Yerevan, Zavaryan Street","40.167781,44.518385",Կենտրոն
"բաշինջաղյան փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Bashinjaghyan Street 1st Lane","40.203353,44.465547",Աջափնյակ
"մաշտոցի պողոտա 45a, երևան","Armenia, Yerevan, Mashtots Avenue, 45A","40.190347,44.517272",Կենտրոն
"մինաս ավետիսյան 1 փողոց, երևան","Armenia, Yerevan, Avet Avetisyan Street, 1","40.196403,44.495002",Արաբկիր
"ա. պոպովի փողոց 73, երևան","Armenia, Yerevan, A. Popov Street, 73","40.150536,44.456797",Շենգավիթ
"սողոմոն տարոնցի փողոց 7, երևան","Armenia, Yerevan, Soghomon Taronts Street, 7","40.145628,44.485067",Շենգավիթ
"գրիբոյեդով փողոց, երևան","Armenia, Yerevan, Griboyedov Street","40.209627,44.514083",Արաբկիր
"մելիք մելիքյան փողոց, երևան","Armenia, Yerevan, Meliq Meliqyan Street","40.228214,44.543628",Քանաքեռ-Զեյթուն
"հրաչյա քոչար փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"գրիբոյեդով փողոց 5ա, երևան","Armenia, Yerevan, Griboyedov Street, 5A","40.205798,44.512924",Արաբկիր
"գոգոլի փողոց 23, երևան","Armenia, Yerevan, Gogol Street, 23","40.198634,44.544697",Քանաքեռ-Զեյթուն
"հերացու փողոց 18, երևան","Armenia, Yerevan, Heratsi Street, 18","40.190237,44.529812",Կենտրոն
